StorageLocation,Item,UofM,Qty,UofM2,Qty2,UofM3,Qty3
BAR CONS Taco Shop,CON BAR Garnish Kiwi,SLICE,0,Bag - 500 Slices,0,,
BAR CONS Taco Shop,CON BAR Garnish Lime,SLICE,0,Bag - 500 Slices,0,,
BAR CONS Taco Shop,CON BAR Garnish Orange,SLICE,0,Bag - 500 Slices,0,,
BAR CONS Taco Shop,CON BAR Garnish Pineapple,SLICE,0,Bag - 500 Slices,0,,
BAR CONS Taco Shop,CON BAR Ginger Beer,Bottle (6.7 OZ-fl),0,Bottle (16.9 OZ-fl),0,Can (7.5 OZ-fl),0
BAR CONS Taco Shop,CON BAR Juice Clamato,Bottle (1 Litre),0,Bottle (8 OZ-fl),0,,
BAR CONS Taco Shop,CON BAR Juice Cranberry,Bottle (32 OZ-fl),0,Bottle (64 OZ-fl),0,Bottle (5.5 OZ-fl),0
BAR CONS Taco Shop,CON BAR Juice Cranberry Bib,Gallon,0,Keg (2.5 Gl),0,,
BAR CONS Taco Shop,CON BAR Juice Pineapple,Can (6 OZ-fl),0,Bottle (46 OZ-fl),0,Can (5.5 OZ-fl),0
BAR CONS Taco Shop,CON BAR Maggi Seasoning Liquid,Bottle (27 OZ-fl),0,,,,
BAR CONS Taco Shop,CON BAR Mint,lb,0,,,,
BAR CONS Taco Shop,CON BAR Mix Bloody Mary,Bottle (32 OZ-fl),0,Can (7.5 OZ-fl),0,,
BAR CONS Taco Shop,CON BAR Mix Grenadine,Bottle (1 Litre),0,,,,
BAR CONS Taco Shop,CON BAR Mix Mango,Bottle (32 OZ-fl),0,Bottle (16.9 OZ-fl),0,Bottle (1 Litre),0
BAR CONS Taco Shop,CON BAR Mix Passion Fruit,Bottle (32 OZ-fl),0,Bottle (17 OZ-fl),0,,
BAR CONS Taco Shop,CON BAR Mix Pina Colada,Bottle (64 OZ-fl),0,Bottle (16.9 OZ-fl),0,Bottle (32 OZ-fl),0
BAR CONS Taco Shop,CON BAR Mix Strawberry,Bottle (32 OZ-fl),0,Bottle (16.9 OZ-fl),0,,
BAR CONS Taco Shop,CON BAR Nectar Agave,Jug (114 OZ-fl),0,lb,0,Gallon,0
BAR CONS Taco Shop,CON BAR Queen Olives,Gal,0,Pack (64 OZ-wt),0,,
BAR CONS Taco Shop,CON BAR Sprite Bib,Gallon,0,Keg (2.5 Gl),0,Keg (3 Gal),0
BAR CONS Taco Shop,CON BAR Sugar Cane,Stick,0,Sugar Cane Small,0,Sugar Cane Large,0
BAR CONS Taco Shop,CON BAR Tamarindo Stick,Each,0,,,,
BAR CONS Taco Shop,CON BAR Tonic Water,Bottle (6.7 OZ-fl),0,Can (7.5 OZ-fl),0,Bottle (12 OZ-fl),0
BAR CONS Taco Shop,CON BAR Tonic Water Bib,Keg (2.5 Gl),0,Gal,0,,
BAR CONS Taco Shop,PREP OM - Sangrita,Litre,0,,,,
BAR CONS Taco Shop,PREP TSH - Michelada,OZ-fl,0,QT,0,,
JUICES Taco Shop,JUICES Agua De Horchata,Bottle (32 OZ-fl),0,,,,
JUICES Taco Shop,JUICES Juice Orange,Bottle (59 OZ-fl),0,Gal,0,Gallon,0
JUICES Taco Shop,JUICES Juice Tomato,Can (46 OZ-fl),0,,,,
FRUIT Taco Shop,PROD/FRT Blueberry,Case - 6 OZ-wt,0,lb,0,,
FRUIT Taco Shop,PROD/FRT Lime,Lime,0,,,,
FRUIT Taco Shop,PROD/FRT Orange,Orange,0,,,,
FRUIT Taco Shop,FROZEN Pulp Mamey,Pack (14 OZ-wt),0,,,,
SODAS Taco Shop,SODAS Coke Mexican Btl,Bottle (12 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Diet Coke Btl,Bottle (8 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Diet Coke Can,Can (12 OZ-fl),0,Can (7 OZ-fl),0,,
SODAS Taco Shop,SODAS Ginger Ale,Can (12 OZ-fl),0,Can (7.5 OZ-fl),0,Bottle (6.7 OZ-fl),0
SODAS Taco Shop,SODAS Jarrito Limon,Bottle (13.5 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Jarritos Mandarina,Bottle (13.5 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Jarritos Tamarindo,Bottle (13.5 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Jarritos Toronja,Bottle (13.5 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Red Bull,Bottle (8.4 OZ-fl),0,Bottle (12 OZ-fl),0,,
SODAS Taco Shop,SODAS Red Bull Sugar Free,Bottle (8.4 OZ-fl),0,Bottle (12 OZ-fl),0,,
SODAS Taco Shop,SODAS Sangria Senorial,Bottle (11.16 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Sidral Mundet,Bottle (12 OZ-fl),0,,,,
SODAS Taco Shop,SODAS Sprite Mexican Btl,Bottle (12 OZ-fl),0,,,,
SODAS Taco Shop,SUPPLIES CO2 BIB CON BAR,KEG,0,,,,
WATER BTL Taco Shop,WATER BTL Panna Water Lg,Bottle (1 Litre),0,Bottle - 750 ML,0,,
WATER BTL Taco Shop,WATER BTL Topo Chico Sm,Can (12 OZ-fl),0,,,,
COFFEE Taco Shop,COFFEE Kimbo Blue Capsules Decaff,Capsule,0,,,,
COFFEE Taco Shop,COFFEE Kimbo Blue Capsules Napoli,Capsule,0,,,,
COFFEE Taco Shop,COFFEE Kimbo Blue Capsules Napoli Double,Capsule,0,,,,
COFFEE Taco Shop,COFFEE Milk Whole,Gal,0,Bottle (32 OZ-fl),0,Gallon,0
CORDIALS Taco Shop,CORDIALS Amaro Montenegro,Bottle (750 ML),0,Bottle (1 Litre),0,,
CORDIALS Taco Shop,CORDIALS Aperol Aperitivo,Bottle (750 ML),0,Bottle (1 Litre),0,,
CORDIALS Taco Shop,CORDIALS Baileys Irish Cream,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Campari Aperitivo,Bottle (1 Litre),0,Bottle - 750 ML,0,,
CORDIALS Taco Shop,CORDIALS Cointreau,Bottle (750 ML),0,Bottle (1 Litre),0,,
CORDIALS Taco Shop,CORDIALS Courvoisier Vs,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Creme De Pamplemousse,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Disaronno Amaretto,Bottle (750 ML),0,Bottle (1 Litre),0,,
CORDIALS Taco Shop,CORDIALS Fernet Branca,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Frangelico,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Grand Marnier,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Hennessy VS,Bottle (1 Litre),0,Bottle (750 ML),0,Bottle (375 mL),0
CORDIALS Taco Shop,CORDIALS Jagermeister,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS JF Hadens Espresso,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Kahlua,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Licor 43,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Lillet Blanc,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Liqueur Triple Sec,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Lo - Fi Amaro,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Luxardo Maraschino,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Nixta,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Remy Martin Vsop,Bottle (1 Litre),0,,,,
CORDIALS Taco Shop,CORDIALS Sambuca Romana Black,Bottle (750 ML),0,,,,
CORDIALS Taco Shop,CORDIALS Schnapps Peach,Bottle (1 Litre),0,Bottle (750 ML),0,Bottle (1.75 Litre),0
CORDIALS Taco Shop,CORDIALS Schnapps Sour Apple,Bottle (1 Litre),0,,,,
CORDIALS Taco Shop,CORDIALS Vermouth Dry,Bottle (1 Litre),0,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Vermouth Rosso/Rouge,Bottle (1 Litre),0,Bottle - 750 ML,0,Bottle (1.5 Litre),0
GIN Taco Shop,GIN Bombay Dry Gin,Bottle (1 Litre),0,Bottle (1.75 Litre),0,,
GIN Taco Shop,GIN Bombay Sapphire,Bottle (1 Litre),0,Bottle (750 ML),0,Bottle (1.75 Litre),0
GIN Taco Shop,GIN Harry Blus,Bottle (750 ML),0,,,,
GIN Taco Shop,GIN Hendricks,Bottle (1 Litre),0,Bottle - 750 ML,0,,
GIN Taco Shop,GIN House,Bottle (1 Litre),0,Bottle (750 ML),0,,
GIN Taco Shop,GIN Tanqueray,Bottle (1 Litre),0,,,,
RUM Taco Shop,RUM Piras 51 Cachaca,Bottle (1 Litre),0,,,,
RUM Taco Shop,RUM Bacardi 10 Yr,Bottle (750 ML),0,,,,
RUM Taco Shop,RUM Bacardi Anejo 4 Yr,Bottle (750 ML),0,Bottle (1 Litre),0,,
RUM Taco Shop,RUM Bacardi Superior,Bottle (1 Litre),0,Bottle (1.75 Litre),0,Bottle - 750 ML,0
RUM Taco Shop,RUM Brugal 1888,Bottle (750 ML),0,,,,
RUM Taco Shop,RUM Captain Morgan Spiced,Bottle (1 Litre),0,,,,
RUM Taco Shop,RUM Castillo Gold,Bottle (1 Litre),0,,,,
RUM Taco Shop,RUM Coconut Cartel,Bottle (750 ML),0,,,,
RUM Taco Shop,RUM Copalli Cacao,Bottle (750 ML),0,,,,
RUM Taco Shop,RUM Flor De Cana 4Yr Anejo Oro,Bottle (1 Litre),0,,,,
RUM Taco Shop,RUM House,Bottle (1 Litre),0,Bottle (750 ML),0,,
RUM Taco Shop,RUM Leblon Cachaca,Bottle (1 Litre),0,Bottle (750 ML),0,,
RUM Taco Shop,RUM Malibu Coconut,Bottle (750 ML),0,Bottle (1 Litre),0,,
RUM Taco Shop,RUM Plantation Pineapple,Bottle (1 Litre),0,Bottle (750 ML),0,,
RUM Taco Shop,RUM Sailor Jerry Spiced Rum,Bottle (1 Litre),0,Bottle - 750 ML,0,Bottle (1.75 Litre),0
RUM Taco Shop,RUM Santa Teresa 1796,Bottle (750 ML),0,Bottle (1 Litre),0,,
RUM Taco Shop,RUM Zacapa Rum Cent 23Yr,Bottle (750 ML),0,Bottle (1 Litre),0,,
RUM Taco Shop,RUM Bacardi Coco,Bottle (1 Litre),0,Bottle (750 ML),0,,
RUM Taco Shop,RUM Nusa Cana Spiced,Bottle (700 mL),0,,,,
RUM Taco Shop,RUM Nusa Cana Tropical,Bottle (700 mL),0,,,,
TEQUILA Taco Shop,TEQUILA 1800 Anejo,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA 1800 Cristalino Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA 1800 Milenio Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA 1800 Reposado,Bottle (1 Litre),0,,,,
TEQUILA Taco Shop,TEQUILA 1800 Silver,Bottle (1 Litre),0,,,,
TEQUILA Taco Shop,TEQUILA 400 Conejos Cuishe,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA 400 Conejos Joven Mezcal,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA 512 Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA 512 Blanco,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA 512 Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Astral Blanco,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Casa Dragones Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Casa Dragones Blanco,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Casa Dragones Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Casamigos Anejo,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Casamigos Blanco,Bottle (1 Litre),0,Bottle - 750 ML,0,Bottle (1 Litre),0
TEQUILA Taco Shop,TEQUILA Casamigos Cristalino,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Casamigos Mezcal Joven 80,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Casamigos Reposado,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Cincoro Teq Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Clase Azul Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Clase Azul Plata,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Clase Azul Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Dahlia Cristalino,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Don Julio 1942,Bottle (750 ML),0,Bottle (1.75 Litre),0,,
TEQUILA Taco Shop,TEQUILA Don Julio 70,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Don Julio Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Don Julio Blanco,Bottle (750 ML),0,Bottle (375 mL),0,,
TEQUILA Taco Shop,TEQUILA Don Julio Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA El Mayor Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA El Mayor Silver,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Espolon Anejo,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Espolon Rep,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Espolon Silver,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Herradura Anejo,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Herradura Reposado,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Herradura Sel Suprema,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Herradura Silver,Bottle (1 Litre),0,Bottle (750 ML),0,Bottle (1.75 Litre),0
TEQUILA Taco Shop,TEQUILA Herradura Ultra Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA House,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Jimador Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Jimador Reposado,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Jimador Silver,Bottle (1 Litre),0,Bottle (750 ML),0,Bottle (1.75 Litre),0
TEQUILA Taco Shop,TEQUILA Jose Cuervo Reserva Familia Extra Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Komos Rep Rosa,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Lobos 1707 Joven,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Lobos 1707 Mezcal Artesanal,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Lobos 1707 Reposado,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Maestro Dobel Diamante,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Maestro Dobel Silver,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Akul Cirial,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Akul Espadin Joven,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Amaras Cupreata,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Anejo Ilegal,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Mezcal Del Maguey Pechuga,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Del Maguey Vida,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal El Silencio,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Joven Ilegal,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Mezcal Montelobos Joven,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Ojo de Tigre,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Mezcal Reposado Ilegal,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Mezcal Sacrum Ensamble,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Union Joven,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Milagro Anejo,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Milagro Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Milagro Silver,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Ocho Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Ocho Plata,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Ocho Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Patron Anejo,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Patron Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Patron Silver,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Siete Leguas Anejo,Bottle (750 ML),0,Bottle (700 mL),0,,
TEQUILA Taco Shop,TEQUILA Siete Leguas Reposado,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Siete Leguas Silver,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Sotol Por Siempre,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Teremana Anejo,Bottle (1 Litre),0,,,,
TEQUILA Taco Shop,TEQUILA Teremana Blanco,Bottle (1 Litre),0,,,,
TEQUILA Taco Shop,TEQUILA Teremana Reposado,Bottle (1 Litre),0,,,,
TEQUILA Taco Shop,TEQUILA Tromba Anejo,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Tromba Blanco,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Tromba Rep,Bottle (750 ML),0,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Volcan Tierra Blanco,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Milagro Silver,Bottle (1 Litre),0,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Absolut,Bottle (1 Litre),0,,,,
VODKA Taco Shop,VODKA Albani,Bottle (1 Litre),0,,,,
VODKA Taco Shop,VODKA Belvedere,Bottle (1 Litre),0,,,,
VODKA Taco Shop,VODKA Grey Goose,Bottle (1 Litre),0,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Harry Blus,Bottle (750 ML),0,,,,
VODKA Taco Shop,VODKA House,Bottle (750 ML),0,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Ketel One,Bottle (1 Litre),0,Bottle (1.75 Litre),0,Bottle (750 ML),0
VODKA Taco Shop,VODKA Ketel One Citroen,Bottle (1 Litre),0,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Organika Vodka,Bottle (1 Litre),0,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Smirnoff Orange,Bottle (1 Litre),0,,,,
VODKA Taco Shop,VODKA Titos,Bottle (1 Litre),0,Bottle (1.75 Litre),0,Bottle (750 ML),0
WHISKEY Taco Shop,WHISKEY Abasolo,Bottle (750 ML),0,,,,
WHISKEY Taco Shop,WHISKEY Angels Envy Bourbon,Bottle (750 ML),0,Bottle (1 Litre),0,,
WHISKEY Taco Shop,WHISKEY Angels Envy Rye,Bottle (750 ML),0,,,,
WHISKEY Taco Shop,WHISKEY Balvenie Scotch 12 Yr Doublewood,Bottle (750 ML),0,,,,
WHISKEY Taco Shop,WHISKEY Buchanans 12 Yr,Bottle (750 ML),0,Bottle (1 Litre),0,,
WHISKEY Taco Shop,WHISKEY Bulleit Bourbon,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Chivas Regal 12 Yr,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Crown Royal Apple,Bottle (1 Litre),0,,,,
WHISKEY Taco Shop,WHISKEY Crown Royal Canadian,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Dewars White,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Dusse Cognac VSOP,Bottle (750 ML),0,,,,
WHISKEY Taco Shop,WHISKEY Glenfiddich 12 Yr,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Glenlivet 12 Yr,Bottle (1 Litre),0,Bottle - 750 ML,0,,
WHISKEY Taco Shop,WHISKEY J Walker Black,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY J Walker Red,Bottle (1 Litre),0,,,,
WHISKEY Taco Shop,WHISKEY Jack Daniels Fire,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Jack Daniels Old 7 Blk,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Jameson,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Macallan 12 Yr,Bottle (750 ML),0,Bottle (1 Litre),0,,
WHISKEY Taco Shop,WHISKEY Makers Mark,Bottle (1 Litre),0,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Old Forester Brbn 86,Bottle (1 Litre),0,Bottle (750 ML),0,Bottle (1.75 Litre),0
WHISKEY Taco Shop,WHISKEY Old Parr Scotch 12 Yr,Bottle (750 ML),0,,,,
WHISKEY Taco Shop,WHISKEY Slane Irish,Bottle (1 Litre),0,Bottle - 750 ML,0,,
WHISKEY Taco Shop,WHISKEY Woodford Reserve,Bottle (1 Litre),0,Bottle (750 ML),0,,
RED WINE Taco Shop,RED WINE Cab Sauv Bonanza,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Cab Sauv Los Vascos,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Malbec Antigal Uno,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Malbec Aruma,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE P Noir Robert Mondavi,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE P Noir Sea Sun,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Cab Sauv The Quilt Rsv,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Chianti Cafaggio,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Malbec Rsv Terraza,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Tempranillo Numanthia Termes,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Merlot Ca Donini,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE Chardonnay Elouan,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE Chardonnay Los Vascos,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE P Grigio Lagaria,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE P Grigio Venezie Canaletto,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE Sauv Blanc Vavasour,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE Riesling Chateau St Michelle,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE Sauv Blanc Justin,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE Moscato D Asti  Saracco,Bottle (750 ML),0,,,,
